,Seq-1
Idx-1666,12
Idx-1667,45
Idx-1668,6
Idx-1669,68
Idx-1670,57
Idx-1671,44
Idx-1672,53
Idx-1673,24
Idx-1674,63
Idx-1675,50
Idx-1676,70
Idx-1677,39
Idx-1678,16
Idx-1679,48
Idx-1680,73
Idx-1681,32
Idx-1682,64
Idx-1683,77
Idx-1684,60
Idx-1685,22
Idx-1686,72
Idx-1687,59
Idx-1688,76
Idx-1689,55
Idx-1690,36
Idx-1691,78
Idx-1692,8
Idx-1693,11
Idx-1694,31
Idx-1695,52
Idx-1696,37
Idx-1697,41
Idx-1698,27
Idx-1699,26
Idx-1700,38
Idx-1701,3
Idx-1702,69
Idx-1703,33
Idx-1704,2
Idx-1705,66
Idx-1706,20
Idx-1707,14
Idx-1708,75
Idx-1709,67
Idx-1710,46
Idx-1711,51
Idx-1712,7
Idx-1713,25
Idx-1714,74
Idx-1715,42
Idx-1716,28
Idx-1717,17
Idx-1718,30
Idx-1719,61
Idx-1720,4
Idx-1721,71
Idx-1722,65
Idx-1723,13
Idx-1724,34
Idx-1725,15
Idx-1726,62
Idx-1727,47
Idx-1728,49
Idx-1729,23
Idx-1730,1
Idx-1731,43
Idx-1732,10
Idx-1733,9
Idx-1734,29
Idx-1735,5
Idx-1736,18
Idx-1737,40
Idx-1738,56
Idx-1739,58
Idx-1740,54
Idx-1741,21
Idx-1742,35
Idx-1743,19
Idx-1744,12
Idx-1745,45
Idx-1746,6
Idx-1747,68
Idx-1748,57
Idx-1749,44
Idx-1750,53
Idx-1751,24
Idx-1752,63
Idx-1753,50
Idx-1754,70
Idx-1755,39
Idx-1756,16
Idx-1757,48
Idx-1758,73
Idx-1759,32
Idx-1760,64
Idx-1761,77
Idx-1762,60
Idx-1763,22
Idx-1764,72
Idx-1765,59
Idx-1766,76
Idx-1767,55
Idx-1768,36
Idx-1769,78
Idx-1770,8
Idx-1771,11
Idx-1772,31
Idx-1773,52
Idx-1774,37
Idx-1775,41
Idx-1776,27
Idx-1777,26
Idx-1778,38
Idx-1779,3
Idx-1780,69
Idx-1781,33
Idx-1782,2
Idx-1783,66
Idx-1784,20
Idx-1785,14
Idx-1786,75
Idx-1787,67
Idx-1788,46
Idx-1789,51
Idx-1790,7
Idx-1791,25
Idx-1792,74
Idx-1793,42
Idx-1794,28
Idx-1795,17
Idx-1796,30
Idx-1797,61
Idx-1798,4
Idx-1799,71
Idx-1800,65
Idx-1801,13
Idx-1802,34
Idx-1803,15
Idx-1804,62
Idx-1805,47
Idx-1806,49
Idx-1807,23
Idx-1808,1
Idx-1809,43
Idx-1810,10
Idx-1811,9
Idx-1812,29
Idx-1813,5
Idx-1814,18
Idx-1815,40
Idx-1816,56
Idx-1817,58
Idx-1818,54
Idx-1819,21
Idx-1820,35
Idx-1821,19
Idx-1822,12
Idx-1823,45
Idx-1824,6
Idx-1825,68
Idx-1826,57
Idx-1827,44
Idx-1828,53
Idx-1829,24
Idx-1830,63
Idx-1831,50
Idx-1832,70
Idx-1833,39
Idx-1834,16
Idx-1835,48
Idx-1836,73
Idx-1837,32
Idx-1838,64
Idx-1839,77
Idx-1840,60
Idx-1841,22
Idx-1842,72
Idx-1843,59
Idx-1844,76
Idx-1845,55
Idx-1846,36
Idx-1847,78
Idx-1848,8
Idx-1849,11
Idx-1850,31
Idx-1851,52
Idx-1852,37
Idx-1853,41
Idx-1854,27
Idx-1855,26
Idx-1856,38
Idx-1857,3
Idx-1858,69
Idx-1859,33
Idx-1860,2
Idx-1861,66
Idx-1862,20
Idx-1863,14
Idx-1864,75
Idx-1865,67
Idx-1866,46
Idx-1867,51
Idx-1868,7
Idx-1869,25
Idx-1870,74
Idx-1871,42
Idx-1872,28
Idx-1873,17
Idx-1874,30
Idx-1875,61
Idx-1876,4
Idx-1877,71
Idx-1878,65
Idx-1879,13
Idx-1880,34
Idx-1881,15
Idx-1882,62
Idx-1883,47
Idx-1884,49
Idx-1885,23
Idx-1886,1
Idx-1887,43
Idx-1888,10
Idx-1889,9
Idx-1890,29
Idx-1891,5
Idx-1892,18
Idx-1893,40
Idx-1894,56
Idx-1895,58
Idx-1896,54
Idx-1897,21
Idx-1898,35
Idx-1899,19
Idx-1900,12
Idx-1901,45
Idx-1902,6
Idx-1903,68
Idx-1904,57
Idx-1905,44
Idx-1906,53
Idx-1907,24
Idx-1908,63
Idx-1909,50
Idx-1910,70
Idx-1911,39
Idx-1912,16
Idx-1913,48
Idx-1914,73
Idx-1915,32
Idx-1916,64
Idx-1917,77
Idx-1918,60
Idx-1919,22
Idx-1920,72
Idx-1921,59
Idx-1922,76
Idx-1923,55
Idx-1924,36
Idx-1925,78
Idx-1926,8
Idx-1927,11
Idx-1928,31
Idx-1929,52
Idx-1930,37
Idx-1931,41
Idx-1932,27
Idx-1933,26
Idx-1934,38
Idx-1935,3
Idx-1936,69
Idx-1937,33
Idx-1938,2
Idx-1939,66
Idx-1940,20
Idx-1941,14
Idx-1942,75
Idx-1943,67
Idx-1944,46
Idx-1945,51
Idx-1946,7
Idx-1947,25
Idx-1948,74
Idx-1949,42
Idx-1950,28
Idx-1951,17
Idx-1952,30
Idx-1953,61
Idx-1954,4
Idx-1955,71
Idx-1956,65
Idx-1957,13
Idx-1958,34
Idx-1959,15
Idx-1960,62
Idx-1961,47
Idx-1962,49
Idx-1963,23
Idx-1964,1
Idx-1965,43
Idx-1966,10
Idx-1967,9
Idx-1968,29
Idx-1969,5
Idx-1970,18
Idx-1971,40
Idx-1972,56
Idx-1973,58
Idx-1974,54
Idx-1975,21
Idx-1976,35
Idx-1977,19
Idx-1978,12
Idx-1979,45
Idx-1980,6
Idx-1981,68
Idx-1982,57
Idx-1983,44
Idx-1984,53
Idx-1985,24
Idx-1986,63
Idx-1987,50
Idx-1988,70
Idx-1989,39
Idx-1990,16
Idx-1991,48
Idx-1992,73
Idx-1993,32
Idx-1994,64
Idx-1995,77
Idx-1996,60
Idx-1997,22
Idx-1998,72
Idx-1999,59
Idx-2000,76
Idx-2001,55
Idx-2002,36
Idx-2003,78
Idx-2004,8
Idx-2005,11
Idx-2006,31
Idx-2007,52
Idx-2008,37
Idx-2009,41
Idx-2010,27
Idx-2011,26
Idx-2012,38
Idx-2013,3
Idx-2014,69
Idx-2015,33
Idx-2016,2
Idx-2017,66
Idx-2018,20
Idx-2019,14
Idx-2020,75
Idx-2021,67
Idx-2022,46
Idx-2023,51
Idx-2024,7
Idx-2025,25
Idx-2026,74
Idx-2027,42
Idx-2028,28
Idx-2029,17
Idx-2030,30
Idx-2031,61
Idx-2032,4
Idx-2033,71
Idx-2034,65
Idx-2035,13
Idx-2036,34
Idx-2037,15
Idx-2038,62
Idx-2039,47
Idx-2040,49
Idx-2041,23
Idx-2042,1
Idx-2043,43
Idx-2044,10
Idx-2045,9
Idx-2046,29
Idx-2047,5
Idx-2048,18
Idx-2049,40
Idx-2050,56
Idx-2051,58
Idx-2052,54
Idx-2053,21
Idx-2054,35
Idx-2055,19
Idx-2056,12
Idx-2057,45
Idx-2058,6
Idx-2059,68
Idx-2060,57
Idx-2061,44
Idx-2062,53
Idx-2063,24
Idx-2064,63
Idx-2065,50
Idx-2066,70
Idx-2067,39
Idx-2068,16
Idx-2069,48
Idx-2070,73
Idx-2071,32
Idx-2072,64
Idx-2073,77
Idx-2074,60
Idx-2075,22
Idx-2076,72
Idx-2077,59
Idx-2078,76
Idx-2079,55
Idx-2080,36
Idx-2081,78
Idx-2082,8
Idx-2083,11
Idx-2084,31
Idx-2085,52
Idx-2086,37
Idx-2087,41
Idx-2088,27
Idx-2089,26
Idx-2090,38
Idx-2091,3
Idx-2092,69
Idx-2093,33
Idx-2094,2
Idx-2095,66
Idx-2096,20
Idx-2097,14
Idx-2098,75
Idx-2099,67
Idx-2100,46
Idx-2101,51
Idx-2102,7
Idx-2103,25
Idx-2104,74
Idx-2105,42
Idx-2106,28
Idx-2107,17
Idx-2108,30
Idx-2109,61
Idx-2110,4
Idx-2111,71
Idx-2112,65
Idx-2113,13
Idx-2114,34
Idx-2115,15
Idx-2116,62
Idx-2117,47
Idx-2118,49
Idx-2119,23
Idx-2120,1
Idx-2121,43
Idx-2122,10
Idx-2123,9
Idx-2124,29
Idx-2125,5
Idx-2126,18
Idx-2127,40
Idx-2128,56
Idx-2129,58
Idx-2130,54
Idx-2131,21
Idx-2132,35
Idx-2133,19
Idx-2134,12
Idx-2135,45
Idx-2136,6
Idx-2137,68
Idx-2138,57
Idx-2139,44
Idx-2140,53
Idx-2141,24
Idx-2142,63
Idx-2143,50
Idx-2144,70
Idx-2145,39
Idx-2146,16
Idx-2147,48
Idx-2148,73
Idx-2149,32
Idx-2150,64
Idx-2151,77
Idx-2152,60
Idx-2153,22
Idx-2154,72
Idx-2155,59
Idx-2156,76
Idx-2157,55
Idx-2158,36
Idx-2159,78
Idx-2160,8
Idx-2161,11
Idx-2162,31
Idx-2163,52
Idx-2164,37
Idx-2165,41
Idx-2166,27
Idx-2167,26
Idx-2168,38
Idx-2169,3
Idx-2170,69
Idx-2171,33
Idx-2172,2
Idx-2173,66
Idx-2174,20
Idx-2175,14
Idx-2176,75
Idx-2177,67
Idx-2178,46
Idx-2179,51
Idx-2180,7
Idx-2181,25
Idx-2182,74
Idx-2183,42
Idx-2184,28
Idx-2185,17
Idx-2186,30
Idx-2187,61
Idx-2188,4
Idx-2189,71
Idx-2190,65
Idx-2191,13
Idx-2192,34
Idx-2193,15
Idx-2194,62
Idx-2195,47
Idx-2196,49
Idx-2197,23
Idx-2198,1
Idx-2199,43
Idx-2200,10
Idx-2201,9
Idx-2202,29
Idx-2203,5
Idx-2204,18
Idx-2205,40
Idx-2206,56
Idx-2207,58
Idx-2208,54
Idx-2209,21
Idx-2210,35
Idx-2211,19
Idx-2212,12
Idx-2213,45
Idx-2214,6
Idx-2215,68
Idx-2216,57
Idx-2217,44
Idx-2218,53
Idx-2219,24
Idx-2220,63
Idx-2221,50
Idx-2222,70
Idx-2223,39
Idx-2224,16
Idx-2225,48
Idx-2226,73
Idx-2227,32
Idx-2228,64
Idx-2229,77
Idx-2230,60
Idx-2231,22
Idx-2232,72
Idx-2233,59
Idx-2234,76
Idx-2235,55
Idx-2236,36
Idx-2237,78
Idx-2238,8
Idx-2239,11
Idx-2240,31
Idx-2241,52
Idx-2242,37
Idx-2243,41
Idx-2244,27
Idx-2245,26
Idx-2246,38
Idx-2247,3
Idx-2248,69
Idx-2249,33
Idx-2250,2
Idx-2251,66
Idx-2252,20
Idx-2253,14
Idx-2254,75
Idx-2255,67
Idx-2256,46
Idx-2257,51
Idx-2258,7
Idx-2259,25
Idx-2260,74
Idx-2261,42
Idx-2262,28
Idx-2263,17
Idx-2264,30
Idx-2265,61
Idx-2266,4
Idx-2267,71
Idx-2268,65
Idx-2269,13
Idx-2270,34
Idx-2271,15
Idx-2272,62
Idx-2273,47
Idx-2274,49
Idx-2275,23
Idx-2276,1
Idx-2277,43
Idx-2278,10
Idx-2279,9
Idx-2280,29
Idx-2281,5
Idx-2282,18
Idx-2283,40
Idx-2284,56
Idx-2285,58
Idx-2286,54
Idx-2287,21
Idx-2288,35
Idx-2289,19
Idx-2290,12
Idx-2291,45
Idx-2292,6
Idx-2293,68
Idx-2294,57
Idx-2295,44
Idx-2296,53
Idx-2297,24
Idx-2298,63
Idx-2299,50
Idx-2300,70
Idx-2301,39
Idx-2302,16
Idx-2303,48
Idx-2304,73
Idx-2305,32
Idx-2306,64
Idx-2307,77
Idx-2308,60
Idx-2309,22
Idx-2310,72
Idx-2311,59
Idx-2312,76
Idx-2313,55
Idx-2314,36
Idx-2315,78
Idx-2316,8
Idx-2317,11
Idx-2318,31
Idx-2319,52
Idx-2320,37
Idx-2321,41
Idx-2322,27
Idx-2323,26
Idx-2324,38
Idx-2325,3
Idx-2326,69
Idx-2327,33
Idx-2328,2
Idx-2329,66
Idx-2330,20
Idx-2331,14
Idx-2332,75
Idx-2333,67
Idx-2334,46
Idx-2335,51
Idx-2336,7
Idx-2337,25
Idx-2338,74
Idx-2339,42
Idx-2340,28
Idx-2341,17
Idx-2342,30
Idx-2343,61
Idx-2344,4
Idx-2345,71
Idx-2346,65
Idx-2347,13
Idx-2348,34
Idx-2349,15
Idx-2350,62
Idx-2351,47
Idx-2352,49
Idx-2353,23
Idx-2354,1
Idx-2355,43
Idx-2356,10
Idx-2357,9
Idx-2358,29
Idx-2359,5
Idx-2360,18
Idx-2361,40
Idx-2362,56
Idx-2363,58
Idx-2364,54
Idx-2365,21
Idx-2366,35
Idx-2367,19
Idx-2368,12
Idx-2369,45
Idx-2370,6
Idx-2371,68
Idx-2372,57
Idx-2373,44
Idx-2374,53
Idx-2375,24
Idx-2376,63
Idx-2377,50
Idx-2378,70
Idx-2379,39
Idx-2380,16
Idx-2381,48
Idx-2382,73
Idx-2383,32
Idx-2384,64
Idx-2385,77
Idx-2386,60
Idx-2387,22
Idx-2388,72
Idx-2389,59
Idx-2390,76
Idx-2391,55
Idx-2392,36
Idx-2393,78
Idx-2394,8
Idx-2395,11
Idx-2396,31
Idx-2397,52
Idx-2398,37
Idx-2399,41
Idx-2400,27
Idx-2401,26
Idx-2402,38
Idx-2403,3
Idx-2404,69
Idx-2405,33
Idx-2406,2
Idx-2407,66
Idx-2408,20
Idx-2409,14
Idx-2410,75
Idx-2411,67
Idx-2412,46
Idx-2413,51
Idx-2414,7
Idx-2415,25
Idx-2416,74
Idx-2417,42
Idx-2418,28
Idx-2419,17
Idx-2420,30
Idx-2421,61
Idx-2422,4
Idx-2423,71
Idx-2424,65
Idx-2425,13
Idx-2426,34
Idx-2427,15
Idx-2428,62
Idx-2429,47
Idx-2430,49
Idx-2431,23
Idx-2432,1
Idx-2433,43
Idx-2434,10
Idx-2435,9
Idx-2436,29
Idx-2437,5
Idx-2438,18
Idx-2439,40
Idx-2440,56
Idx-2441,58
Idx-2442,54
Idx-2443,21
Idx-2444,35
Idx-2445,19
Idx-2446,12
Idx-2447,45
Idx-2448,6
Idx-2449,68
Idx-2450,57
Idx-2451,44
Idx-2452,53
Idx-2453,24
Idx-2454,63
Idx-2455,50
Idx-2456,70
Idx-2457,39
Idx-2458,16
Idx-2459,48
Idx-2460,73
Idx-2461,32
Idx-2462,64
Idx-2463,77
Idx-2464,60
Idx-2465,22
Idx-2466,72
Idx-2467,59
Idx-2468,76
Idx-2469,55
Idx-2470,36
Idx-2471,78
Idx-2472,8
Idx-2473,11
Idx-2474,31
Idx-2475,52
Idx-2476,37
Idx-2477,41
Idx-2478,27
Idx-2479,26
Idx-2480,38
Idx-2481,3
Idx-2482,69
Idx-2483,33
Idx-2484,2
Idx-2485,66
Idx-2486,20
Idx-2487,14
Idx-2488,75
Idx-2489,67
Idx-2490,46
Idx-2491,51
Idx-2492,7
Idx-2493,25
Idx-2494,74
Idx-2495,42
Idx-2496,28
Idx-2497,17
Idx-2498,30
Idx-2499,61
Idx-2500,4
Idx-2501,71
Idx-2502,65
Idx-2503,13
Idx-2504,34
Idx-2505,15
Idx-2506,62
Idx-2507,47
Idx-2508,49
Idx-2509,23
Idx-2510,1
Idx-2511,43
Idx-2512,10
Idx-2513,9
Idx-2514,29
Idx-2515,5
Idx-2516,18
Idx-2517,40
Idx-2518,56
Idx-2519,58
Idx-2520,54
Idx-2521,21
Idx-2522,35
Idx-2523,19
Idx-2524,12
Idx-2525,45
Idx-2526,6
Idx-2527,68
Idx-2528,57
Idx-2529,44
Idx-2530,53
Idx-2531,24
Idx-2532,63
Idx-2533,50
Idx-2534,70
Idx-2535,39
Idx-2536,16
Idx-2537,48
Idx-2538,73
Idx-2539,32
Idx-2540,64
Idx-2541,77
Idx-2542,60
Idx-2543,22
Idx-2544,72
Idx-2545,59
Idx-2546,76
Idx-2547,55
Idx-2548,36
Idx-2549,78
Idx-2550,8
Idx-2551,11
Idx-2552,31
Idx-2553,52
Idx-2554,37
Idx-2555,41
Idx-2556,27
Idx-2557,26
Idx-2558,38
Idx-2559,3
Idx-2560,69
Idx-2561,33
Idx-2562,2
Idx-2563,66
Idx-2564,20
Idx-2565,14
Idx-2566,75
Idx-2567,67
Idx-2568,46
Idx-2569,51
Idx-2570,7
Idx-2571,25
Idx-2572,74
Idx-2573,42
Idx-2574,28
Idx-2575,17
Idx-2576,30
Idx-2577,61
Idx-2578,4
Idx-2579,71
Idx-2580,65
Idx-2581,13
Idx-2582,34
Idx-2583,15
Idx-2584,62
Idx-2585,47
Idx-2586,49
Idx-2587,23
Idx-2588,1
Idx-2589,43
Idx-2590,10
Idx-2591,9
Idx-2592,29
Idx-2593,5
Idx-2594,18
Idx-2595,40
Idx-2596,56
Idx-2597,58
Idx-2598,54
Idx-2599,21
Idx-2600,35
Idx-2601,19
Idx-2602,12
Idx-2603,45
Idx-2604,6
Idx-2605,68
Idx-2606,57
Idx-2607,44
Idx-2608,53
Idx-2609,24
Idx-2610,63
Idx-2611,50
Idx-2612,70
Idx-2613,39
Idx-2614,16
Idx-2615,48
Idx-2616,73
Idx-2617,32
Idx-2618,64
Idx-2619,77
Idx-2620,60
Idx-2621,22
Idx-2622,72
Idx-2623,59
Idx-2624,76
Idx-2625,55
Idx-2626,36
Idx-2627,78
Idx-2628,8
Idx-2629,11
Idx-2630,31
Idx-2631,52
Idx-2632,37
Idx-2633,41
Idx-2634,27
Idx-2635,26
Idx-2636,38
Idx-2637,3
Idx-2638,69
Idx-2639,33
Idx-2640,2
Idx-2641,66
Idx-2642,20
Idx-2643,14
Idx-2644,75
Idx-2645,67
Idx-2646,46
Idx-2647,51
Idx-2648,7
Idx-2649,25
Idx-2650,74
Idx-2651,42
Idx-2652,28
Idx-2653,17
Idx-2654,30
Idx-2655,61
Idx-2656,4
Idx-2657,71
Idx-2658,65
Idx-2659,13
Idx-2660,34
Idx-2661,15
Idx-2662,62
Idx-2663,47
Idx-2664,49
Idx-2665,23
Idx-2666,1
Idx-2667,43
Idx-2668,10
Idx-2669,9
Idx-2670,29
Idx-2671,5
Idx-2672,18
Idx-2673,40
Idx-2674,56
Idx-2675,58
Idx-2676,54
Idx-2677,21
Idx-2678,35
Idx-2679,19
Idx-2680,12
Idx-2681,45
Idx-2682,6
Idx-2683,68
Idx-2684,57
Idx-2685,44
Idx-2686,53
Idx-2687,24
Idx-2688,63
Idx-2689,50
Idx-2690,70
Idx-2691,39
Idx-2692,16
Idx-2693,48
Idx-2694,73
Idx-2695,32
Idx-2696,64
Idx-2697,77
Idx-2698,60
Idx-2699,22
Idx-2700,72
Idx-2701,59
Idx-2702,76
Idx-2703,55
Idx-2704,36
Idx-2705,78
Idx-2706,8
Idx-2707,11
Idx-2708,31
Idx-2709,52
Idx-2710,37
Idx-2711,41
Idx-2712,27
Idx-2713,26
Idx-2714,38
Idx-2715,3
Idx-2716,69
Idx-2717,33
Idx-2718,2
Idx-2719,66
Idx-2720,20
Idx-2721,14
Idx-2722,75
Idx-2723,67
Idx-2724,46
Idx-2725,51
Idx-2726,7
Idx-2727,25
Idx-2728,74
Idx-2729,42
Idx-2730,28
Idx-2731,17
Idx-2732,30
Idx-2733,61
Idx-2734,4
Idx-2735,71
Idx-2736,65
Idx-2737,13
Idx-2738,34
Idx-2739,15
Idx-2740,62
Idx-2741,47
Idx-2742,49
Idx-2743,23
Idx-2744,1
Idx-2745,43
Idx-2746,10
Idx-2747,9
Idx-2748,29
Idx-2749,5
Idx-2750,18
Idx-2751,40
Idx-2752,56
Idx-2753,58
Idx-2754,54
Idx-2755,21
Idx-2756,35
Idx-2757,19
Idx-2758,12
Idx-2759,45
Idx-2760,6
Idx-2761,68
Idx-2762,57
Idx-2763,44
Idx-2764,53
Idx-2765,24
Idx-2766,63
Idx-2767,50
Idx-2768,70
Idx-2769,39
Idx-2770,16
Idx-2771,48
Idx-2772,73
Idx-2773,32
Idx-2774,64
Idx-2775,77
Idx-2776,60
Idx-2777,22
Idx-2778,72
Idx-2779,59
Idx-2780,76
Idx-2781,55
Idx-2782,36
Idx-2783,78
Idx-2784,8
Idx-2785,11
Idx-2786,31
Idx-2787,52
Idx-2788,37
Idx-2789,41
Idx-2790,27
Idx-2791,26
Idx-2792,38
Idx-2793,3
Idx-2794,69
Idx-2795,33
Idx-2796,2
Idx-2797,66
Idx-2798,20
Idx-2799,14
Idx-2800,75
Idx-2801,67
Idx-2802,46
Idx-2803,51
Idx-2804,7
Idx-2805,25
Idx-2806,74
Idx-2807,42
Idx-2808,28
Idx-2809,17
Idx-2810,30
Idx-2811,61
Idx-2812,4
Idx-2813,71
Idx-2814,65
Idx-2815,13
Idx-2816,34
Idx-2817,15
Idx-2818,62
Idx-2819,47
Idx-2820,49
Idx-2821,23
Idx-2822,1
Idx-2823,43
Idx-2824,10
Idx-2825,9
Idx-2826,29
Idx-2827,5
Idx-2828,18
Idx-2829,40
Idx-2830,56
Idx-2831,58
Idx-2832,54
Idx-2833,21
Idx-2834,35
Idx-2835,19
Idx-2836,12
Idx-2837,45
Idx-2838,6
Idx-2839,68
Idx-2840,57
Idx-2841,44
Idx-2842,53
Idx-2843,24
Idx-2844,63
Idx-2845,50
Idx-2846,70
Idx-2847,39
Idx-2848,16
Idx-2849,48
Idx-2850,73
Idx-2851,32
Idx-2852,64
Idx-2853,77
Idx-2854,60
Idx-2855,22
Idx-2856,72
Idx-2857,59
Idx-2858,76
Idx-2859,55
Idx-2860,36
Idx-2861,78
Idx-2862,8
Idx-2863,11
Idx-2864,31
Idx-2865,52
Idx-2866,37
Idx-2867,41
Idx-2868,27
Idx-2869,26
Idx-2870,38
Idx-2871,3
Idx-2872,69
Idx-2873,33
Idx-2874,2
Idx-2875,66
Idx-2876,20
Idx-2877,14
Idx-2878,75
Idx-2879,67
Idx-2880,46
Idx-2881,51
Idx-2882,7
Idx-2883,25
Idx-2884,74
Idx-2885,42
Idx-2886,28
Idx-2887,17
Idx-2888,30
Idx-2889,61
Idx-2890,4
Idx-2891,71
Idx-2892,65
Idx-2893,13
Idx-2894,34
Idx-2895,15
Idx-2896,62
Idx-2897,47
Idx-2898,49
Idx-2899,23
Idx-2900,1
Idx-2901,43
Idx-2902,10
Idx-2903,9
Idx-2904,29
Idx-2905,5
Idx-2906,18
Idx-2907,40
Idx-2908,56
Idx-2909,58
Idx-2910,54
Idx-2911,21
Idx-2912,35
Idx-2913,19
Idx-2914,12
Idx-2915,45
Idx-2916,6
Idx-2917,68
Idx-2918,57
Idx-2919,44
Idx-2920,53
Idx-2921,24
Idx-2922,63
Idx-2923,50
Idx-2924,70
Idx-2925,39
Idx-2926,16
Idx-2927,48
Idx-2928,73
Idx-2929,32
Idx-2930,64
Idx-2931,77
Idx-2932,60
Idx-2933,22
Idx-2934,72
Idx-2935,59
Idx-2936,76
Idx-2937,55
Idx-2938,36
Idx-2939,78
Idx-2940,8
Idx-2941,11
Idx-2942,31
Idx-2943,52
Idx-2944,37
Idx-2945,41
Idx-2946,27
Idx-2947,26
Idx-2948,38
Idx-2949,3
Idx-2950,69
Idx-2951,33
Idx-2952,2
Idx-2953,66
Idx-2954,20
Idx-2955,14
Idx-2956,75
Idx-2957,67
Idx-2958,46
Idx-2959,51
Idx-2960,7
Idx-2961,25
Idx-2962,74
Idx-2963,42
Idx-2964,28
Idx-2965,17
Idx-2966,30
Idx-2967,61
Idx-2968,4
Idx-2969,71
Idx-2970,65
Idx-2971,13
Idx-2972,34
Idx-2973,15
Idx-2974,62
Idx-2975,47
Idx-2976,49
Idx-2977,23
Idx-2978,1
Idx-2979,43
Idx-2980,10
Idx-2981,9
Idx-2982,29
Idx-2983,5
Idx-2984,18
Idx-2985,40
Idx-2986,56
Idx-2987,58
Idx-2988,54
Idx-2989,21
Idx-2990,35
Idx-2991,19
Idx-2992,12
Idx-2993,45
Idx-2994,6
Idx-2995,68
Idx-2996,57
Idx-2997,44
Idx-2998,53
Idx-2999,24
Idx-3000,63
Idx-3001,50
Idx-3002,70
Idx-3003,39
Idx-3004,16
Idx-3005,48
Idx-3006,73
Idx-3007,32
Idx-3008,64
Idx-3009,77
Idx-3010,60
Idx-3011,22
Idx-3012,72
Idx-3013,59
Idx-3014,76
Idx-3015,55
Idx-3016,36
Idx-3017,78
Idx-3018,8
Idx-3019,11
Idx-3020,31
Idx-3021,52
Idx-3022,37
Idx-3023,41
Idx-3024,27
Idx-3025,26
Idx-3026,38
Idx-3027,3
Idx-3028,69
Idx-3029,33
Idx-3030,2
Idx-3031,66
Idx-3032,20
Idx-3033,14
Idx-3034,75
Idx-3035,67
Idx-3036,46
Idx-3037,51
Idx-3038,7
Idx-3039,25
Idx-3040,74
Idx-3041,42
Idx-3042,28
Idx-3043,17
Idx-3044,30
Idx-3045,61
Idx-3046,4
Idx-3047,71
Idx-3048,65
Idx-3049,13
Idx-3050,34
Idx-3051,15
Idx-3052,62
Idx-3053,47
Idx-3054,49
Idx-3055,23
Idx-3056,1
Idx-3057,43
Idx-3058,10
Idx-3059,9
Idx-3060,29
Idx-3061,5
Idx-3062,18
Idx-3063,40
Idx-3064,56
Idx-3065,58
Idx-3066,54
Idx-3067,21
Idx-3068,35
Idx-3069,19
Idx-3070,12
Idx-3071,45
Idx-3072,6
Idx-3073,68
Idx-3074,57
Idx-3075,44
Idx-3076,53
Idx-3077,24
Idx-3078,63
Idx-3079,50
Idx-3080,70
Idx-3081,39
Idx-3082,16
Idx-3083,48
Idx-3084,73
Idx-3085,32
Idx-3086,64
Idx-3087,77
Idx-3088,60
Idx-3089,22
Idx-3090,72
Idx-3091,59
Idx-3092,76
Idx-3093,55
Idx-3094,36
Idx-3095,78
Idx-3096,8
Idx-3097,11
Idx-3098,31
Idx-3099,52
Idx-3100,37
Idx-3101,41
Idx-3102,27
Idx-3103,26
Idx-3104,38
Idx-3105,3
Idx-3106,69
Idx-3107,33
Idx-3108,2
Idx-3109,66
Idx-3110,20
Idx-3111,14
Idx-3112,75
Idx-3113,67
Idx-3114,46
Idx-3115,51
Idx-3116,7
Idx-3117,25
Idx-3118,74
Idx-3119,42
Idx-3120,28
Idx-3121,17
Idx-3122,30
Idx-3123,61
Idx-3124,4
Idx-3125,71
Idx-3126,65
Idx-3127,13
Idx-3128,34
Idx-3129,15
Idx-3130,62
Idx-3131,47
Idx-3132,49
Idx-3133,23
Idx-3134,1
Idx-3135,43
Idx-3136,10
Idx-3137,9
Idx-3138,29
Idx-3139,5
Idx-3140,18
Idx-3141,40
Idx-3142,56
Idx-3143,58
Idx-3144,54
Idx-3145,21
Idx-3146,35
Idx-3147,19
Idx-3148,12
Idx-3149,45
Idx-3150,6
Idx-3151,68
Idx-3152,57
Idx-3153,44
Idx-3154,53
Idx-3155,24
Idx-3156,63
Idx-3157,50
Idx-3158,70
Idx-3159,39
Idx-3160,16
Idx-3161,48
Idx-3162,73
Idx-3163,32
Idx-3164,64
Idx-3165,77
Idx-3166,60
Idx-3167,22
Idx-3168,72
Idx-3169,59
Idx-3170,76
Idx-3171,55
Idx-3172,36
Idx-3173,78
Idx-3174,8
Idx-3175,11
Idx-3176,31
Idx-3177,52
Idx-3178,37
Idx-3179,41
Idx-3180,27
Idx-3181,26
Idx-3182,38
Idx-3183,3
Idx-3184,69
Idx-3185,33
Idx-3186,2
Idx-3187,66
Idx-3188,20
Idx-3189,14
Idx-3190,75
Idx-3191,67
Idx-3192,46
Idx-3193,51
Idx-3194,7
Idx-3195,25
Idx-3196,74
Idx-3197,42
Idx-3198,28
Idx-3199,17
Idx-3200,30
Idx-3201,61
Idx-3202,4
Idx-3203,71
Idx-3204,65
Idx-3205,13
Idx-3206,34
Idx-3207,15
Idx-3208,62
Idx-3209,47
Idx-3210,49
Idx-3211,23
Idx-3212,1
Idx-3213,43
Idx-3214,10
Idx-3215,9
Idx-3216,29
Idx-3217,5
Idx-3218,18
Idx-3219,40
